## Parameters: ##
# num_blocks : 16 
# window_res : [800, 600] 
# surround_contrast : 0.75 
# annulus_contrast : 0.75 
# block_duration : 10.0 
# surround_inner : 0.4 
# annulus_inner : 3 
# target_contrast_max : 0.75 
# subject : JUNK 
# ring_width : 0.1 
# monitor : testMonitor 
# stimulus_duration : 0.75 
# temporal_phase : 0 
# temporal_freq : 4 
# display_units : deg 
# surround_ori : 0 
# contrast_increments : 15 
# annulus_ori : 0 
# spoke_width : 0.1 
# dummy_blocks : 1 
# start_target_contrast : 0.075 
# trials_per_block : 5 
# fixation_size : 0.3 
# spatial_phase : 0 
# fix_target_max : 1 
# response_duration : 1.0 
# task : Annulus 
# surround_outer : 12.2 
# spatial_freq : 1.1 
# fix_target_start : 0.75 
# annulus_outer : 6 
# fix_target_min : 0 
# target_contrast_min : 0.01 
# feedback_duration : 0.25 
# paradigm : rapid_fire 
# trial_duration : 2.0 
# Annulus target contrast	 Fixation target contrast	Annulus target location	Fixation target location	Response	Correct	Response time
0.075	0.75	0	0	1	1	0.255430936813
0.075	0.75	6	0	2	1	0.000226020812988
0.075	0.75	7	1	2	1	0.117442846298
0.125	0.75	0	0	1	1	0.0462081432343
0.125	0.75	2	0	1	1	0.396561861038
0.125	0.75	4	1	2	1	0.329648017883
0.175	0.75	1	1	1	1	0.000279903411865
0.175	0.75	1	1	1	1	0.329086065292
0.175	0.75	4	1	2	1	0.246068954468
0.225	0.75	4	1	None	None	None
0.225	0.75	7	1	2	1	0.000749111175537
0.225	0.75	7	1	2	1	0.173603057861
0.225	0.75	1	1	1	1	0.000231027603149
0.275	0.75	7	0	2	1	0.800081014633
0.275	0.75	1	0	1	1	0.168962955475
0.275	0.75	0	0	1	1	0.0984780788422
0.325	0.75	2	1	1	1	0.000231027603149
0.325	0.75	3	0	1	1	0.000108957290649
0.325	0.75	2	0	1	1	0.000202178955078
0.375	0.75	0	1	1	1	0.00111603736877
0.375	0.75	1	1	1	1	0.000355958938599
0.375	0.75	1	1	1	1	0.000233173370361
0.425	0.75	3	1	1	1	0.000231981277466
0.425	0.75	7	0	1	0	0.000125169754028
0.375	0.75	4	1	2	1	0.000205039978027
0.375	0.75	1	1	1	1	0.000171184539795
0.375	0.75	3	1	1	1	0.000829935073853
0.425	0.75	1	0	1	1	0.000240087509155
0.425	0.75	4	1	1	0	0.000231027603149
0.375	0.75	6	0	2	1	0.000108003616333
0.375	0.75	5	0	2	1	0.0627999305725
0.375	0.75	6	0	2	1	0.00021505355835
0.425	0.75	6	0	1	0	0.136935949326
0.375	0.75	6	1	2	1	0.000356912612915
0.375	0.75	0	0	1	1	0.000231027603149
0.375	0.75	6	1	2	1	0.00010085105896
0.425	0.75	5	1	2	1	0.000184059143066
0.425	0.75	5	1	2	1	0.000166177749634
0.425	0.75	2	1	1	1	0.000293016433716
0.475	0.75	4	0	2	1	0.000300884246826
0.475	0.75	1	0	1	1	0.000170946121216
0.475	0.75	2	1	1	1	0.000113010406494
0.525	0.75	7	1	2	1	0.000231981277466
0.525	0.75	1	0	1	1	0.304099082947
0.525	0.75	2	0	1	1	0.000295877456665
0.575	0.75	4	0	2	1	0.000263929367065
0.575	0.75	5	1	2	1	0.339581012726
0.575	0.75	1	1	1	1	0.325222969055
0.625	0.75	3	1	1	1	0.158030986786
0.625	0.75	7	1	2	1	0.000293970108032
0.625	0.75	0	0	1	1	0.0885510444641
0.675	0.75	7	1	2	1	0.530905008316
0.675	0.75	5	0	2	1	0.0188729763031
0.675	0.75	4	1	2	1	0.0522630214691
0.725	0.75	7	1	1	0	0.317502975464
0.675	0.75	7	0	2	1	0.0869119167328
0.675	0.75	7	0	2	1	0.263856887817
0.675	0.75	4	1	2	1	0.121282815933
0.725	0.75	0	1	1	1	0.29853105545
0.725	0.75	4	1	2	1	0.538731813431
0.725	0.75	5	0	1	0	0.476141929626
0.675	0.75	1	0	1	1	0.325227022171
0.675	0.75	3	1	1	1	0.318586826324
0.675	0.75	6	1	1	0	0.919754981995
0.625	0.75	1	0	1	1	0.212657928467
0.625	0.75	0	1	1	1	0.0552890300751
0.625	0.75	0	1	1	1	0.0490741729736
0.675	0.75	1	1	2	0	0.210242986679
0.625	0.75	0	1	1	1	0.0190720558167
0.625	0.75	4	1	2	1	0.019758939743
0.625	0.75	0	1	1	1	0.332556962967
0.675	0.75	0	0	2	0	0.38201212883
0.625	0.75	1	0	1	1	0.000262975692749
0.625	0.75	7	1	2	1	0.000233888626099
0.625	0.75	7	0	2	1	0.0146059989929
0.675	0.75	3	0	1	1	0.0772790908813
0.675	0.75	5	1	1	0	0.310430049896
0.625	0.75	0	1	1	1	0.00103306770325
0.625	0.75	2	0	1	1	0.000140905380249
0.625	0.75	0	0	1	1	0.0255179405212
