## Parameters: ##
# num_blocks : 16 
# window_res : [800, 600] 
# surround_contrast : 1 
# annulus_contrast : 0.75 
# block_duration : 10.0 
# surround_inner : 0.4 
# annulus_inner : 3 
# target_contrast_max : 0.75 
# subject : SS 
# ring_width : 0.1 
# monitor : testMonitor 
# stimulus_duration : 0.75 
# temporal_phase : 0 
# temporal_freq : 4 
# display_units : deg 
# surround_ori : 90 
# contrast_increments : 15 
# annulus_ori : 0 
# spoke_width : 0.1 
# dummy_blocks : 1 
# start_target_contrast : 0.075 
# trials_per_block : 5 
# fixation_size : 0.3 
# spatial_phase : 0 
# fix_target_max : 1 
# response_duration : 1.0 
# task : Annulus 
# surround_outer : 12.2 
# spatial_freq : 1.1 
# fix_target_start : 0.75 
# annulus_outer : 6 
# fix_target_min : 0 
# target_contrast_min : 0.01 
# feedback_duration : 0.25 
# paradigm : rapid_fire 
# trial_duration : 2.0 
# Annulus target contrast	 Fixation target contrast	Annulus target location	Fixation target location	Response	Correct	Response time
0.075	0.75	5	0	2	1	0.59875202179
0.075	0.75	7	1	2	1	0.216041088104
0.075	0.75	0	1	1	1	0.000193119049072
0.125	0.75	6	0	2	1	0.000155925750732
0.125	0.75	5	1	2	1	0.115561008453
0.125	0.75	3	0	1	1	0.0210480690002
0.175	0.75	6	1	2	1	0.16614484787
0.175	0.75	5	1	2	1	0.271051883698
0.175	0.75	1	0	1	1	0.0487999916077
0.225	0.75	6	0	2	1	0.28178691864
0.225	0.75	7	0	2	1	0.362983942032
0.225	0.75	5	0	2	1	0.356115818024
0.275	0.75	7	0	2	1	0.221467018127
0.275	0.75	5	0	2	1	0.142653942108
0.275	0.75	6	1	2	1	0.000653982162476
0.325	0.75	1	1	1	1	0.000216960906982
0.325	0.75	2	0	1	1	0.000300168991089
0.325	0.75	2	0	1	1	0.000108957290649
0.375	0.75	4	0	2	1	0.141305923462
0.375	0.75	6	0	2	1	0.214833021164
0.375	0.75	1	0	1	1	0.0639328956604
0.425	0.75	6	0	2	1	0.121078014374
0.425	0.75	4	0	2	1	0.114468097687
0.425	0.75	1	0	1	1	0.00014591217041
0.475	0.75	1	1	1	1	0.0532970428467
0.475	0.75	5	1	2	1	0.214897155762
0.475	0.75	7	0	2	1	0.208214998245
0.525	0.75	4	1	2	1	0.0650200843811
0.525	0.75	6	1	2	1	0.130347967148
0.525	0.75	3	0	1	1	0.303344011307
0.575	0.75	2	1	1	1	0.373399972916
0.575	0.75	2	0	1	1	0.0946881771088
0.575	0.75	0	1	1	1	0.240124940872
0.625	0.75	7	1	2	1	0.353175163269
0.625	0.75	1	1	1	1	0.137629032135
0.625	0.75	1	1	1	1	0.0503330230713
0.675	0.75	1	0	1	1	0.171840906143
0.675	0.75	6	1	2	1	0.805175065994
0.675	0.75	7	1	2	1	0.598383903503
0.725	0.75	5	0	1	0	0.375549077988
0.675	0.75	0	1	1	1	0.305010080338
0.675	0.75	5	1	2	1	0.43418097496
0.675	0.75	2	1	1	1	0.387600898743
0.725	0.75	7	1	1	0	0.660717010498
0.675	0.75	2	1	1	1	0.365759134293
0.675	0.75	3	1	1	1	0.438987016678
0.675	0.75	4	1	2	1	0.456296920776
0.725	0.75	6	1	1	0	0.73769903183
0.675	0.75	2	1	1	1	0.402881145477
0.675	0.75	2	1	1	1	0.684331178665
0.675	0.75	0	0	1	1	0.613093852997
0.725	0.75	5	0	1	0	0.742610931396
0.675	0.75	6	0	2	1	0.547730922699
0.675	0.75	0	0	1	1	0.401402950287
0.675	0.75	1	0	1	1	0.531066894531
0.725	0.75	6	0	1	0	0.540040016174
0.675	0.75	5	0	2	1	0.32497215271
0.675	0.75	7	1	1	0	0.558273077011
0.625	0.75	3	0	1	1	0.204087972641
0.625	0.75	1	0	1	1	0.321557998657
0.625	0.75	1	1	1	1	0.306710958481
0.675	0.75	3	1	1	1	0.532270908356
0.675	0.75	7	0	1	0	0.781344890594
0.625	0.75	5	0	2	1	0.366578102112
0.625	0.75	2	0	1	1	0.435885906219
0.625	0.75	2	1	1	1	0.281486034393
0.675	0.75	5	0	1	0	0.482837915421
0.625	0.75	1	0	1	1	0.260360002518
0.625	0.75	0	0	1	1	0.637291908264
0.625	0.75	4	1	2	1	0.286560058594
0.675	0.75	1	0	1	1	0.364867925644
0.675	0.75	4	1	1	0	0.745522022247
0.625	0.75	3	1	1	1	0.358712911606
0.625	0.75	6	1	2	1	0.120048046112
0.625	0.75	2	1	1	1	0.000423908233643
0.675	0.75	3	0	1	1	0.0244588851929
0.675	0.75	2	1	1	1	0.297488927841
0.675	0.75	6	1	1	0	0.49086689949
0.625	0.75	1	1	1	1	0.0599150657654
0.625	0.75	0	0	1	1	0.309245824814
