## Parameters: ##
# num_blocks : 16 
# window_res : [800, 600] 
# surround_contrast : 1 
# annulus_contrast : 0.75 
# block_duration : 10.0 
# surround_inner : 0.4 
# annulus_inner : 3 
# target_contrast_max : 0.75 
# subject : SS_par 
# ring_width : 0.1 
# monitor : testMonitor 
# stimulus_duration : 0.75 
# temporal_phase : 0 
# temporal_freq : 4 
# display_units : deg 
# surround_ori : 90 
# contrast_increments : 15 
# annulus_ori : 90 
# spoke_width : 0.1 
# dummy_blocks : 1 
# start_target_contrast : 0.075 
# trials_per_block : 5 
# fixation_size : 0.3 
# spatial_phase : 0 
# fix_target_max : 1 
# response_duration : 1.0 
# task : Annulus 
# surround_outer : 12.2 
# spatial_freq : 1.1 
# fix_target_start : 0.75 
# annulus_outer : 6 
# fix_target_min : 0 
# target_contrast_min : 0.01 
# feedback_duration : 0.25 
# paradigm : rapid_fire 
# trial_duration : 2.0 
# Annulus target contrast	 Fixation target contrast	Annulus target location	Fixation target location	Response	Correct	Response time
0.075	0.75	3	0	1	1	0.112924098969
0.075	0.75	4	1	2	1	0.0821800231934
0.075	0.75	1	1	1	1	0.811103105545
0.125	0.75	1	0	2	0	0.756319046021
0.075	0.75	0	0	2	0	0.573680877686
0.025	0.75	6	0	2	1	0.231086969376
0.025	0.75	3	1	1	1	0.24835395813
0.025	0.75	4	0	2	1	0.281497955322
0.075	0.75	4	0	2	1	0.000229120254517
0.075	0.75	5	1	2	1	0.0118269920349
0.075	0.75	5	0	2	1	0.0372619628906
0.125	0.75	4	1	2	1	0.486311912537
0.125	0.75	1	0	2	0	0.535481929779
0.075	0.75	4	0	2	1	0.120491981506
0.075	0.75	0	0	2	0	0.441920042038
0.025	0.75	1	0	1	1	0.427457094193
0.025	0.75	0	1	2	0	0.58040189743
0.01	0.75	0	0	2	0	0.436930894852
0.01	0.75	1	1	2	0	0.494263887405
0.01	0.75	2	0	1	1	0.0792338848114
0.01	0.75	1	1	2	0	0.504553794861
0.01	0.75	4	0	2	1	0.0497319698334
0.01	0.75	0	0	2	0	0.622261047363
0.01	0.75	4	0	2	1	0.000168800354004
0.01	0.75	1	0	1	1	0.758011102676
0.01	0.75	1	0	1	1	0.647464036942
0.06	0.75	1	1	2	0	0.768632888794
0.01	0.75	7	0	2	1	0.274066925049
0.01	0.75	3	0	1	1	0.171037912369
0.01	0.75	7	0	2	1	0.252321004868
0.06	0.75	3	0	1	1	0.000234127044678
0.06	0.75	3	1	1	1	0.00019383430481
0.06	0.75	1	0	2	0	0.447965145111
0.01	0.75	4	1	2	1	0.0417151451111
0.01	0.75	1	1	1	1	0.818208932877
0.01	0.75	0	1	2	0	0.499562978745
0.01	0.75	4	0	2	1	0.0010359287262
0.01	0.75	6	0	2	1	0.277880907059
0.01	0.75	7	0	2	1	0.000168085098267
0.06	0.75	2	1	1	1	0.0406818389893
0.06	0.75	6	0	2	1	0.000184059143066
0.06	0.75	6	0	2	1	0.000157117843628
0.11	0.75	5	1	2	1	0.000257968902588
0.11	0.75	7	1	2	1	0.100656032562
0.11	0.75	1	1	2	0	0.469885110855
0.06	0.75	5	1	2	1	0.0514099597931
0.06	0.75	1	1	1	1	0.345098972321
0.06	0.75	7	0	2	1	0.21838092804
0.11	0.75	1	1	1	1	0.659582138062
0.11	0.75	0	1	None	None	None
0.11	0.75	4	1	2	1	0.000158786773682
0.11	0.75	1	1	2	0	0.000101089477539
0.06	0.75	6	1	2	1	0.000241994857788
0.06	0.75	1	1	None	None	None
0.06	0.75	1	1	1	1	0.000298976898193
0.06	0.75	1	1	2	0	0.000236988067627
0.01	0.75	6	0	2	1	0.000174999237061
0.01	0.75	1	0	1	1	0.371701002121
0.01	0.75	2	1	1	1	0.0563271045685
0.06	0.75	7	1	2	1	0.122660160065
0.06	0.75	3	1	1	1	0.000846147537231
0.06	0.75	2	0	1	1	0.0366818904877
0.11	0.75	0	0	2	0	0.701840877533
0.06	0.75	2	1	1	1	0.0311501026154
0.06	0.75	7	1	2	1	0.120241165161
0.06	0.75	1	0	1	1	0.497622966766
0.11	0.75	4	0	2	1	0.000890016555786
0.11	0.75	7	0	2	1	0.000185012817383
0.11	0.75	6	0	2	1	0.000192165374756
0.16	0.75	0	1	1	1	0.2385430336
0.16	0.75	2	0	1	1	0.000212907791138
0.16	0.75	4	1	2	1	0.0650899410248
0.21	0.75	4	1	2	1	0.0421500205994
0.21	0.75	4	1	2	1	0.000185012817383
0.21	0.75	4	1	2	1	0.000448942184448
0.26	0.75	4	0	2	1	0.000585079193115
0.26	0.75	1	1	1	1	0.214570045471
0.26	0.75	7	0	2	1	0.000179052352905
0.31	0.75	3	1	1	1	0.104831933975
0.31	0.75	6	1	2	1	0.0580480098724
